Method,Time (seconds),Best Accuracy,Best Params
Normal,20.779690265655518,0.9583333333333334,"{'n_estimators': 10, 'max_depth': 5, 'min_samples_split': 2}"
Ray,27.65640950202942,0.9583333333333334,"{'n_estimators': 10, 'max_depth': 5, 'min_samples_split': 2}"
